probe,pvalue,Primary.solid.Tumor_Minus_Solid.Tissue.Normal,adjust.p
cg15491247,0.0031693968084599484,-0.044353217099508624,0.003701386599922642
cg17435683,1.1758562459209906e-7,-0.28924690932416475,2.3745121450993624e-7
cg06703375,7.286192458386227e-26,-0.4079609113780535,8.366383228440688e-25
cg13875033,2.6793997877987415e-14,-0.07344282500566375,9.798606796359762e-14
cg18369939,0.21821186649707774,-0.005814445723630046,0.2328160394985066
cg13689309,9.039296954355409e-7,-0.443320370892462,1.6364416316484656e-6
cg16059167,3.3843529007178107e-9,-0.4017282802302639,8.05377893185311e-9
cg21848084,2.2572012070963317e-17,-0.4085597682331619,1.0559328723795375e-16
cg26004086,0.007132548499747698,-0.1378655976794469,0.008144398217375327
cg27187555,4.588023153455747e-5,-0.19564107744701745,6.411518313169649e-5
cg17493795,2.687116732205518e-7,-0.3423499962516592,5.221592513942558e-7
cg06258549,1.676783689770372e-27,-0.2995767643005863,2.238438063904838e-26
cg06911744,2.5118295303265206e-6,-0.38055879095282075,4.2607686867728795e-6
cg26000536,2.2327769895794852e-9,-0.238779560288632,5.407403859719048e-9
cg12593511,1.2912662794413736e-4,-0.45380671991101296,1.7112665301394152e-4
ch.1.131529R,0.01035406076166852,-0.010557344150358028,0.011749390304533317
cg08831401,4.997610371730044e-5,-0.3793739022285134,6.93666629787044e-5
cg16176095,6.64257865945327e-17,-0.41971877248258316,2.9800858357437895e-16
cg15385853,6.811891945168628e-22,-0.5049382238575679,4.842046135916401e-21
cg00251678,4.915568515903839e-7,-0.24946952612884932,9.182438570095681e-7
cg15059176,3.6008697222805416e-7,-0.3152027993280543,6.85919731320725e-7
cg15386853,4.704387602471243e-10,-0.4936546031496204,1.224184539343547e-9
cg25783497,1.0074699469804196e-33,-0.42473183120922353,3.0634549128552763e-32
cg17286074,7.547006499332513e-12,-0.5047846343771809,2.2775278270271073e-11
cg23999080,2.1612860085273572e-6,-0.22985154202997798,3.7160540586407545e-6
cg23738647,1.8672588664962725e-6,-0.21092986432777822,3.237633641802407e-6
cg25362585,3.700988501883768e-7,-0.40421130628290497,7.033591574181884e-7
cg14841011,3.886039881915121e-20,-0.17579693433664367,2.3119121326466044e-19
cg17412901,9.393857246028584e-6,-0.25654158957418266,1.4718238166010433e-5
cg09788762,1.4039555029278275e-28,-0.44014288699203025,2.1544812484182174e-27
cg04483711,2.1450402068834984e-9,-0.35452402001554656,5.202593825262488e-9
cg11251399,5.102675778258503e-36,-0.41113603785696134,2.148357340487298e-34
cg01930478,7.472452197963289e-10,-0.1890226183175039,1.9040425971484077e-9
cg21197219,5.580327701779337e-7,-0.11532620643737743,1.0365269328418182e-6
cg26786407,6.197036312767195e-22,-0.38742302016768726,4.424145054592928e-21
cg18024358,2.327188942718234e-6,-0.11443560045137507,3.980462754107646e-6
cg21156590,1.8818101198587153e-6,-0.21645851488815882,3.2559875835700847e-6
cg01941754,4.473484262794145e-22,-0.3768218204311097,3.264649404225772e-21
cg01973174,3.41354200766392e-13,-0.2543325341447603,1.14388489318044e-12
cg27450668,1.7964622194770676e-7,-0.39136858158044824,3.5539650173269216e-7
cg22791030,8.700728448452082e-8,-0.3427953021007871,1.7925465636585094e-7
cg21811896,1.6712351345621568e-17,-0.3588674211972086,7.931121650147577e-17
cg27637706,1.116917138223459e-13,-0.3759728583861921,3.8855464850909313e-13
cg12612393,6.48409558121339e-16,-0.3544053469327003,2.6617212360880967e-15
cg22335847,1.2672912306324386e-29,-0.38859791732568055,2.2137151071260256e-28
cg20000908,3.470793917955603e-9,-0.33623581871921115,8.247530554678872e-9
cg08115476,2.8465107098177754e-9,-0.20470737810032236,6.85332930428268e-9
cg27306802,1.3822394477523494e-6,-0.2606651677257479,2.4457297125100836e-6
cg17153775,2.0764452889915722e-26,-0.3809162732887206,2.525572714462342e-25
cg03957235,4.8679905268116914e-24,-0.36491965198361154,4.391890354409229e-23
cg04549679,2.4978947763572613e-24,-0.4048894384052999,2.3846181527782692e-23
cg20628733,4.341186533264678e-12,-0.19747645472861108,1.3274168133371697e-11
cg27055894,0.00041569291773210705,-0.07431722122255799,5.21840803452691e-4
cg25593794,5.092569812895269e-7,-0.09222192100497256,9.469988259087239e-7
cg17967071,1.1590279799403978e-22,-0.42995505844879206,8.934854192779969e-22
cg11970695,1.81905566114231e-6,-0.09753152121301192,3.1607295191488602e-6
cg22039909,6.517778663571383e-8,-0.23724035393147985,1.363336632558498e-7
cg26020826,1.4491330763917226e-6,-0.18100439473108676,2.555828691122673e-6
cg23698560,3.9966615470136694e-24,-0.35390364185735856,3.6662113185455e-23
cg00935967,2.1182573529889233e-29,-0.5458335180271541,3.6231026808414713e-28
cg07115817,5.273078965713891e-31,-0.45539151954140317,1.0689377360126184e-29
cg17876128,7.43229178208477e-7,-0.40457863074051525,1.3650808843605362e-6
cg08847614,4.3386670265959716e-44,-0.5720599361731391,1.424818251534117e-41
cg25469923,1.9306099126365533e-10,-0.4124571151213936,5.222506551151928e-10
cg13443938,3.4924432537078273e-7,-0.3769660160474371,6.66813002626541e-7
cg16686279,7.046837348907586e-7,-0.2674833471423567,1.3001019018995791e-6
cg24699985,4.688007655709673e-4,-0.12624034023758604,5.844881222988066e-4
cg12699274,0.0028245639337883066,-0.06196193593148154,0.0033223022774214895
cg13224197,5.791998101886063e-12,-0.42088454477324005,1.7546975799440806e-11
cg00546971,8.935160376190854e-8,-0.4563207528283852,1.8362369634174445e-7
cg21271015,7.288019281142144e-17,-0.3760499338410914,3.251882516205272e-16
cg15645728,1.282512917118194e-8,-0.40478774165769016,2.8690547818911096e-8
cg13056990,8.10238929711856e-34,-0.6389565980079789,2.5102119294091845e-32
cg11380667,3.2595517102909612e-24,-0.34169902174447864,3.04101358426009e-23
cg24525286,8.696834185007272e-35,-0.4097973458725245,2.9750420274545713e-33
cg21267167,3.473775567529768e-39,-0.46574483402311884,2.8519697409419392e-37
cg21913897,7.855241626062565e-23,-0.49406612336702405,6.171438636361117e-22
cg24350011,2.5910408272762123e-21,-0.47826592664256296,1.7365261381173636e-20
cg20995977,3.839316072619165e-11,-0.4831027639314578,1.1079362023270067e-10
cg18947954,4.2767211279970865e-8,-0.24908096018645506,9.143718870014605e-8
cg09234698,2.1916322442301636e-36,-0.5460480473588644,9.99627818062758e-35
cg13067635,1.3413855873538903e-5,-0.378480995668661,2.0527074878239404e-5
cg11968318,5.220125592665402e-15,-0.3236721315313753,2.026346624859714e-14
cg24005842,9.536707769898357e-5,-0.08131169430570542,1.2835470621453361e-4
cg15699050,3.2717866855950692e-21,-0.3143273869854245,2.1662394103818967e-20
cg09247779,7.103264637015336e-11,-0.16215082343721443,1.9971850229416407e-10
cg16430402,0.016486375897315192,-0.02366325565996219,0.018453053322011963
cg20277740,1.0933043192033265e-11,-0.1336037271506596,3.258086555593216e-11
cg23968579,1.235860058378951e-13,-0.235132572292754,4.2811861094055644e-13
cg21470600,7.075372435830239e-8,-0.3988904380913544,1.474335220765641e-7
cg01907457,1.3331506152499958e-20,-0.4747599504506238,8.451866062704606e-20
cg22235088,0.055570866489014166,-0.1311240841812361,0.06054901312207118
cg16603374,3.1287350971695306e-6,-0.1070690382518252,5.247582256948283e-6
cg00223046,8.142750928663301e-11,-0.3313772779739514,2.2855379529684e-10
cg00773460,1.5916847577210976e-6,-0.2693566611339878,2.7952367616877456e-6
cg11194299,2.8126398502112046e-35,-0.4742572092977757,1.0996082462016186e-33
cg25880365,7.696637906559927e-21,-0.31970260041137566,4.9755430876265356e-20
cg01295264,2.2081142555598195e-10,-0.38791077450164707,5.917223404445155e-10
cg17133774,1.236346127191803e-4,-0.20437040065077122,1.6411320459571065e-4
cg00883218,0.8829492491888704,0.03161108089599035,0.9101083911915413
cg26250989,5.847039983124215e-17,-0.4488732625231691,2.630367028024647e-16
cg04354126,8.266170739675504e-17,-0.2948142396999496,3.6486699877814996e-16
cg00506442,2.757978519681518e-5,-0.07921093990029648,3.972456780102678e-5
cg17162028,4.5211811744063556e-11,-0.14322216715200253,1.2978635469187475e-10
cg18167466,5.950696661272509e-8,-0.21410592900003222,1.251093971550507e-7
cg16733136,3.019060308928946e-7,-0.13718114502004553,5.818423740917054e-7
cg27428051,2.1926234299431036e-10,-0.30274307113197463,5.892451181614691e-10
cg26681193,1.6449344545861255e-14,-0.20764711780110823,6.152579440615987e-14
cg21922810,1.7789980016396254e-4,-0.2927260985679405,2.3257282792135868e-4
cg26250086,3.0863416869497857e-10,-0.21116630414126641,8.160665136830191e-10
cg26669159,0.013666131102678397,-0.025676059761427006,0.01535919731047086
cg27551706,2.033921116027455e-25,-0.2840361724881839,2.1546441758174715e-24
cg15484597,3.1168784338169633e-25,-0.4139296202413793,3.2375761308210385e-24
cg14836248,0.02123060132693591,-0.05332410992468915,0.023570417429904508
cg24513014,9.483033622160193e-10,-0.4078360681639367,2.395560185782621e-9
cg26253070,4.202159100034953e-29,-0.45761557259734936,6.96964165884585e-28
cg17079374,1.8728094712004267e-6,-0.3506187925710692,3.2438324385138194e-6
cg12710648,3.247223447158909e-5,-0.3199452266464503,4.632442137476045e-5
cg24999973,2.4854188523869247e-20,-0.4156239336400973,1.511502872451604e-19
cg12097989,1.8534177305990966e-24,-0.4103525988223471,1.8007762802625542e-23
cg23972860,7.804332199415867e-35,-0.4527276272007413,2.7265347811576284e-33
cg08647349,1.4667007201546038e-4,-0.09574688931342062,1.9343956485894453e-4
cg19726343,6.580224629783559e-6,-0.44899438017692744,1.0551493009867778e-5
cg24634746,5.5521881961389154e-5,-0.32077208823034437,7.67398402193611e-5
cg18795022,3.207677488054279e-33,-0.5813146700471254,8.778344058975211e-32
cg20313951,3.485450193371777e-25,-0.37068881640953477,3.5769432609477855e-24
cg10176514,1.2208623454030866e-22,-0.2787480514290349,9.367551267064805e-22
cg23889047,8.894560266498925e-6,-0.11910435960543861,1.3989337124129536e-5
cg21942218,1.1380136658826432e-32,-0.4491401741038593,2.669454913399e-31
cg07344096,7.213354770932105e-36,-0.3982837655704752,2.9610821334676287e-34
cg22127730,2.619982253011091e-30,-0.5771719839886266,4.8886487039138766e-29
cg14150803,6.002367418507867e-11,-0.21279097367109595,1.705170813354657e-10
cg18165065,1.0170914159433184e-6,-0.4404862167057773,1.825206672108119e-6
cg19274341,1.8207702109639926e-4,-0.2308111475634786,2.3765538047717613e-4
cg18376288,0.23093035016164776,-0.0059672831132245585,0.2462257369905361
cg11734367,4.385643533493533e-21,-0.38410594746519444,2.892058908432281e-20
cg12749164,2.4265252843002194e-5,-0.1519248218682417,3.5353633689626975e-5
cg20014974,1.9225187040912988e-11,-0.19013728040167874,5.627051180245833e-11
cg21279510,0.9999999995648088,0.14785723116509475,1
cg04508870,2.1581682190638447e-5,-0.33614085575168673,3.195412277459723e-5
cg19081390,1.1729093626176471e-17,-0.421825881020008,5.69122916640389e-17
cg20936321,4.846742960150435e-8,-0.2978407599968337,1.0308746037003904e-7
cg03989270,2.613335048992551e-20,-0.34870020320294814,1.5834303138176268e-19
cg26915618,2.182625296543043e-5,-0.07686147231250362,3.220009646831695e-5
cg13081009,0.7743449827706474,0.015122094994515778,0.803205598047633
cg18645642,0.9543238394200239,0.05377778504746833,0.9763238282415446
cg17442683,3.02454747815233e-17,-0.34668675168477947,1.39503004469835e-16
cg19371916,0.008913811616768134,-0.0627619190804812,0.010143089864680025
cg14565651,1.4111627616039447e-6,-0.2604825263887428,2.4942187885400184e-6
cg08940853,0.2403916112283866,-0.0031688581872820684,0.25598120988132994
cg13693328,1.1478268415272663e-6,-0.25343388092870445,2.0441775203771923e-6
cg24577933,7.152158739856251e-4,-0.08257665369642143,8.783728235485388e-4
cg19988763,5.9703763910010173e-5,-0.021810900248629604,8.22429365270442e-5
cg25755851,5.175125720652251e-5,-0.203471813421578,7.164887380532037e-5
cg01980735,9.158589314109418e-15,-0.19167245418267143,3.513645713497118e-14
cg17489312,6.00488524690611e-10,-0.3744882513095279,1.5430393701752475e-9
cg26363759,1.432130485431709e-4,-0.3315472869011999,1.891840914785894e-4
cg06349050,1.6446412550273215e-20,-0.38414077908142374,1.0268064413516586e-19
cg14669515,5.1871706247690806e-8,-0.29785287623822654,1.100430770784345e-7
cg24597774,1.3776447860407216e-11,-0.7467390442283202,4.0612077893695956e-11
cg12430302,1.1028316878208748e-25,-0.38187932350092396,1.2235470482445111e-24
cg20432384,1.1748733359693528e-10,-0.23635641702230437,3.247713834447268e-10
cg21686171,7.733533643478445e-21,-0.5116572473319073,4.979789114741807e-20
cg13225830,1.513560683353056e-8,-0.2253127294645072,3.3494159596573024e-8
cg13683667,1.6905235938137065e-6,-0.1262295293050189,2.956165858404799e-6
cg16582732,6.311071299956432e-11,-0.1868196599838008,1.780546232736849e-10
cg24304972,4.4437358484710854e-4,-0.09802553128575808,5.561443798162745e-4
cg13465000,2.5092550929828017e-5,-0.07358347690898559,3.6397498786906015e-5
cg17467525,2.6374762332405507e-4,-0.235755207907413,3.378109184852562e-4
cg21164509,3.380436019836967e-5,-0.258773942136418,4.8099444926969665e-5
cg15499275,7.413235658266831e-10,-0.25670233431572687,1.893084440260363e-9
cg23799532,5.053728913322977e-16,-0.29863849160768186,2.0902324623869842e-15
cg14176088,1.0631972061713793e-4,-0.12492999630753968,1.420479912557693e-4
cg26307814,0.066784692376133,-0.036782935735042155,0.07267095088244559
cg26404223,1.4757099329777803e-7,-0.08270195192192942,2.944247521202327e-7
