X17753;X17754;X17755;X17756;X17757;X17758;X17760;X17761;X17762;X17763;X17764;X17765;X17766;X17767;X17768;X17769;X17770;X17771;X17772;X17773;X17774;X17775;X17776;X17777;X17778
ABCA2;1.258287;1.237941;2.268221;1.206403;1.376038;0.175168;1.227948;0.273814;1.052351;9.827401;0.118891;1.526127;0.301348;3.014434;1.966342;2.698351;2.981361;2.150245;2.430105;2.058621;1.852824;2.502857;2.329139;1.975421;1.432308
ABCA3;9.916306;1.040772;1.460171;1.043808;1.194537;9.708146;9.212021;1.451301;2.092739;0.103405;2.254943;2.176562;1.881936;3.993922;1.829587;5.718262;2.086232;3.971056;1.824449;3.240822;1.660573;2.291283;1.739902;2.346834;1.891581
ABCA4;1.319998;1.553601;1.509469;1.163964;1.298097;1.177172;1.005944;1.376904;0.117202;1.067969;1.104623;1.935827;0.193721;0.289915;0.172131;2.046563;2.344255;0.185735;1.683756;1.749961;1.620444;1.744259;1.920034;1.546484;1.309083
ABCA5;1.022088;1.612426;1.368897;1.195924;1.634215;0;1.057671;1.469457;1.374228;1.125032;1.418723;1.257813;4.049341;2.830961;2.383034;2.055962;1.890742;0.170777;1.563174;3.765247;4.068213;2.777892;2.034447;2.532909;0.163881
ABCA7;9.163446;9.148454;9.881585;8.184077;8.706725;8.275957;7.666006;7.530707;7.908472;8.298118;1.024915;8.679498;1.426736;1.482321;1.200212;1.394174;0.140901;1.306758;1.295669;1.143135;1.003081;1.153443;1.220426;1.230835;0.960144
ABCA8;8.311887;9.112972;9.443806;7.861201;8.411846;7.341095;6.693924;8.094405;7.811221;6.783607;8.354118;8.970568;0.133706;1.533088;1.185361;1.619436;1.579334;1.250693;0.137847;1.245768;1.181096;1.212291;1.233074;1.210962;1.134307
ABCA9;1.330527;1.420234;1.720727;1.238944;1.312656;1.211243;1.512335;1.612874;1.192307;1.055285;1.252867;1.314898;2.642269;2.930242;1.937605;0;2.738497;2.471388;1.980016;2.837369;2.741006;2.363559;2.071605;1.714393;1.776733
ABCB10;0;9.442006;7.354713;7.050325;1.286457;0.635235;4.950659;0.814205;5.453784;4.939731;0.609211;9.792546;1.428452;1.592619;1.141676;9.312063;1.944389;5.813421;1.068205;0;1.577772;1.329079;2.190568;8.365499;2.347708
ABCB11;1.039572;1.198886;1.113907;9.217828;1.024226;8.153103;8.520304;8.758927;9.676357;9.003626;9.712566;9.263186;1.452219;1.489606;1.376814;1.471032;0.156857;1.327534;1.397028;1.417427;1.516421;0.127385;1.166491;0.133478;1.048464
ABCB4;1.120906;1.060066;1.385231;9.145841;1.013264;9.204314;7.579827;9.672291;8.349936;8.365499;9.900453;0.214609;1.597953;2.438849;1.664267;1.782674;2.202567;1.916823;2.058089;1.878193;1.380947;1.767813;1.520839;1.217614;2.014677
ABCB5;9.134508;8.374509;8.763878;7.775496;9.307487;8.809979;0.636087;8.107797;7.089768;7.237088;6.340874;7.938268;0.130761;1.515866;1.220148;1.610607;1.607327;1.221911;1.355884;0.122799;1.198824;1.186074;1.431248;1.141228;1.022048
ABCB6;6.771558;0.571409;6.591566;3.617957;1.063156;5.459132;3.074427;3.423813;0.844063;3.706805;3.574207;6.122648;9.502893;5.647985;4.469619;1.132206;1.174646;7.469578;7.647302;8.834536;7.175825;0.780219;7.530994;2.924305;7.186314
ABCB7;5.561611;5.809004;3.604781;5.775675;5.657233;4.005093;3.963037;6.806178;3.657346;0.244146;0.542913;8.067759;2.224856;1.728131;1.877559;1.307051;1.752994;9.141783;1.434263;0;1.203189;2.144494;1.394416;9.829686;1.293767
ABCB8;1.483461;1.347595;1.334679;1.102121;1.427158;1.377835;8.209621;1.473815;1.147245;8.898394;1.155865;1.190901;2.048067;2.118903;1.670903;1.880664;1.923653;1.573183;1.923823;1.882721;1.728978;1.703707;1.891884;1.536321;1.548116
ABCB9;3.626294;4.438209;3.582221;2.686821;2.654377;3.071529;1.940052;2.426122;1.925016;3.141443;4.413284;3.592748;0.431976;4.071494;0.285637;3.259538;3.894576;2.612914;2.178262;0.268433;5.714595;0.284979;3.187827;2.252857;1.727101
ABCC1;2.193965;1.814853;3.145803;1.688989;0.369706;1.729092;1.433676;2.410816;2.643877;1.819998;2.539185;3.046648;3.461309;0.414448;2.765174;3.650468;5.921902;3.262999;5.453153;2.851395;3.401711;5.407277;3.327826;2.378253;2.255243
ABCC10;2.447406;2.633772;2.752521;2.957841;0.347711;1.916642;2.166839;3.201006;1.776769;1.576974;2.556543;2.625848;5.067054;4.476357;3.393679;3.894414;0.583187;0.302864;3.678739;3.188843;3.721363;4.869427;3.415449;2.811837;2.742131
ABCC11;8.650639;8.023699;8.429694;7.142658;0.902521;8.860555;6.703353;7.664722;7.226581;7.218104;7.428183;7.788412;0.133271;1.453744;1.269129;1.514421;1.542313;1.291848;1.236829;1.337669;1.070909;1.280628;1.222299;1.270634;1.217995
ABCC12;1.557308;1.244708;1.242493;1.134681;1.131648;1.377161;0.932559;1.223793;1.048858;1.098005;1.205058;1.187891;2.184939;2.231522;0.194878;2.481899;2.436299;1.718172;0.221383;2.335049;2.363861;2.142978;2.400952;1.778941;1.717302
ABCC13;1.260905;1.291124;1.400531;1.201152;1.309218;1.127463;1.143812;1.384022;1.201737;1.064357;1.269546;1.213367;1.934471;1.942056;1.833752;1.809846;2.045562;1.541735;1.652165;1.840296;1.530096;1.568538;1.780924;1.490532;0.128345
ABCC2;2.015372;1.204427;0.127472;9.345348;9.742584;1.036446;0.885843;0.110976;8.997506;1.405268;0.099857;6.138358;2.113509;1.711517;2.780785;1.644384;4.883358;1.567983;2.865271;1.447554;1.794973;1.875704;0;1.351681;2.451309
ABCC3;7.590152;0;7.026962;0;7.770513;0;4.219854;0;7.657725;5.089922;8.823972;6.578657;0;0;6.199182;8.674046;5.514386;1.322075;9.401577;7.637248;0;6.771392;5.754149;4.560815;5.156154
ABCC4;2.700311;3.777729;6.386483;1.945899;2.179892;3.012951;3.311967;2.026116;1.822756;2.583446;3.596341;3.163972;1.041469;5.252169;1.021995;5.991778;1.092184;4.727376;4.120455;7.884682;5.591878;1.109291;5.916086;4.922538;1.352786
ABCC8;1.022586;9.900542;1.046831;7.941927;1.676081;8.218711;8.190695;8.930341;8.429412;7.143544;8.511659;1.102513;0.154921;1.479251;1.368534;1.759836;0.158062;0.133884;1.394854;1.490725;1.520955;1.262485;1.308156;0.116703;1.105639
ABCD1;2.077968;1.868921;1.963961;1.631702;3.455496;0.268219;1.079535;1.834137;9.946484;0.120696;2.880272;0;2.989969;3.580783;3.136872;5.165541;2.808864;2.813086;2.403068;2.156055;2.156692;3.134927;2.613062;1.826154;0.140866
ABCD4;1.268139;1.253614;1.175398;1.151743;1.279356;0.106465;1.013097;1.052517;1.051441;9.723266;1.132228;0.140894;1.823804;2.115643;1.658151;2.048498;1.894212;0.140728;1.606756;1.524444;1.409903;1.596412;0.134979;1.552111;1.197933
ABCE1;1.917423;0;1.968344;1.164624;1.258251;0.970773;9.550801;0;1.288164;1.443622;1.962601;1.500688;2.544796;2.557204;1.499521;8.967745;2.683126;6.618055;1.942673;1.613668;1.686121;1.677432;2.461469;1.221982;2.087355
ABCF1;4.316486;2.764291;3.649005;2.534468;0;2.863517;1.766297;3.386437;1.257712;2.012977;2.312105;2.784684;5.299798;5.951777;0;3.334278;7.674841;2.985189;4.457308;4.714978;6.325141;4.114876;4.591679;2.990722;5.425024
ABCF2;0;6.795819;7.057495;6.345565;1.105233;7.805529;4.773483;9.349428;5.735178;6.113433;8.438327;8.001115;1.028796;1.132929;1.130023;7.259723;1.344522;6.673133;0;9.742458;1.167268;0;1.348142;6.869171;0.924624
ABCF3;2.488633;2.983219;3.284616;2.145703;3.194765;4.368678;2.720626;3.468753;2.312377;2.339792;2.698632;2.469205;4.477913;5.026502;0;3.992014;5.328343;3.373848;3.821218;4.644129;3.231934;4.235341;4.026645;3.240832;2.469446
ABCG1;1.046194;1.147052;1.062528;8.180338;1.131197;9.922784;8.070751;1.179888;9.532131;0.862047;9.343372;1.022991;1.994132;1.941633;1.763285;1.883533;1.950953;1.491601;1.481217;1.649245;1.814578;1.573304;1.730546;1.728195;1.318816
ABCG4;1.048377;1.099563;1.114613;1.061204;1.086678;1.047327;8.368279;9.315309;1.020107;8.291824;1.008322;1.160878;2.414427;2.237662;1.639415;2.370246;2.240182;1.533125;1.594417;1.500201;0.168267;0.176908;1.739985;1.485452;1.302848
ABCG5;1.713925;2.014106;1.550881;1.490251;1.405285;2.317684;9.950444;0.214503;1.412442;1.090597;1.388407;1.391349;2.906986;3.637314;0.244309;2.705031;3.146778;2.091449;2.539281;2.989918;2.904596;2.812055;3.117945;3.807056;0.260853
ABHD1;1.245993;9.463761;1.058042;9.228623;1.421611;8.867828;8.225547;8.529947;7.727682;0.769348;1.208164;3.137149;1.747973;1.625121;1.731796;1.726365;1.668906;1.333426;1.554755;1.601105;1.634015;2.198591;0.150863;1.383045;1.662552
ABHD10;6.304645;6.421306;5.085992;5.984226;8.101311;6.072407;6.028176;7.401721;6.239116;3.035963;7.425951;5.278027;4.825503;1.138411;0.514981;4.965314;8.425969;4.165331;5.583442;8.619899;6.459139;5.546797;7.584182;6.821783;8.047337
ABHD11;1.517655;1.346173;1.149619;0.153565;1.192113;1.160334;1.026504;1.768661;9.567178;0.164834;1.288405;1.504772;4.219466;2.078965;1.555616;1.692163;3.399055;1.429601;2.060443;3.074268;2.252644;4.418036;2.251543;0.200763;2.050037
ABHD2;3.051599;2.643992;2.672922;2.179218;2.265359;4.068519;2.471947;3.411937;2.081559;1.921284;2.070145;2.849632;3.652848;6.983943;3.437229;3.568686;4.608643;3.706656;1.226215;4.079093;3.433358;4.042794;5.528151;3.312603;2.581525
ABHD4;0.182801;2.310026;1.831463;2.132125;1.977763;0.192911;2.226442;2.143206;1.872829;1.058614;1.874915;3.165821;2.371221;3.196714;0.213539;4.129869;3.645603;3.607977;3.681623;2.792867;2.336683;3.388057;0.244164;2.461649;2.213695
ABHD5;4.071706;4.356936;3.914094;2.325676;3.792522;3.961245;1.433991;3.868649;2.502194;0.160339;3.248263;2.983292;6.413943;8.134432;4.234267;6.171649;6.831718;4.973019;6.011284;1.235601;7.246416;5.393564;7.679927;3.490128;0.472451
ABHD6;4.570041;3.374053;4.168839;0.244472;3.470627;0.534038;4.226067;4.810544;2.425469;1.986332;2.301678;5.593554;5.678174;7.946986;3.931095;7.685942;8.155906;4.243493;8.137217;7.154705;0.564439;4.604361;8.914001;3.545909;4.752481
ABHD7;1.355018;1.793252;1.369948;1.596341;1.899426;2.160552;1.493082;2.456836;1.105622;1.148888;1.455128;0.164015;6.672156;2.572331;3.648792;2.187707;4.242964;2.293679;1.981837;4.728363;5.285164;3.618555;3.685009;3.856952;1.702629
ABHD9;1.181832;0.122455;9.531593;9.579636;1.251609;1.592222;9.698905;1.325562;1.059578;8.771853;1.231753;1.160998;2.327456;2.195435;1.995131;2.319319;0.289218;1.943597;2.636909;2.059037;1.758715;2.223146;2.347506;1.611449;1.623163
ABI1;0.937858;1.055781;9.764353;9.925083;1.013815;8.632091;8.158688;9.079254;0.909994;7.512524;9.880473;0.962724;1.735131;1.715066;1.518598;1.608203;0.187196;1.302239;1.623663;0.140768;1.569863;1.497497;1.475499;1.186989;1.206474
ABI2;2.103053;1.780417;1.708304;1.491615;1.799411;1.784401;1.761695;1.822882;1.823775;1.432762;2.375397;2.139823;3.936531;0.307447;2.436782;3.093215;3.702701;2.415951;3.722484;0.267452;2.730182;3.046613;2.633809;2.259876;2.185582
ABI3;1.658004;2.818142;2.061505;1.532134;1.613197;1.792206;1.244072;2.162926;0.136328;1.089942;2.549843;2.326982;4.724323;4.797987;4.143335;4.867619;6.340742;3.440806;4.700893;5.843115;3.198188;5.649247;4.581334;3.030709;2.947901
ABL1;0.305766;2.804302;2.107863;0;1.631263;0.149274;1.358962;2.357221;3.083997;2.466281;2.507465;2.228056;5.257803;3.589206;2.530531;2.081943;4.711557;1.873924;4.502498;1.940288;2.260233;4.410289;0.287868;0.307568;2.627443
ABL2;1.673199;1.407628;2.363033;2.406619;1.285455;1.349534;1.016515;1.252003;1.258114;1.020464;1.600499;1.651099;2.727039;0.278208;1.773634;3.805857;3.172735;4.163644;0.219362;3.991002;2.397271;0.303393;2.719606;2.315091;2.286854
ABLIM1;1.175952;1.225956;1.208105;0.104886;1.202867;1.059413;8.451727;1.094128;1.106489;9.485626;0.107492;1.143997;1.820796;1.770734;0.165219;2.242407;0.182666;1.683071;0.174003;1.997688;1.574178;0;1.831941;1.519479;0.139557
ABO;9.894069;0.100798;0.977196;8.141508;8.355078;0.977384;7.074427;1.287524;9.955139;8.274769;1.050856;0.829691;1.868368;2.210857;1.408514;1.408481;1.703991;1.365669;1.430019;1.662897;1.416052;1.264931;1.919359;1.640094;1.306396
ABP1;7.800637;3.537496;2.643783;8.777883;6.027356;2.592974;1.942592;0;2.920361;2.318433;4.733116;1.647864;9.148483;2.607164;4.981026;4.152108;4.719894;1.052809;1.254958;0;0;3.055334;0;7.273179;8.995171
ABR;1.480369;1.902677;1.387257;1.818092;1.580822;1.370338;1.637327;1.715242;1.959856;1.404047;1.322901;3.023499;2.286509;2.055487;1.856353;1.976894;2.462744;1.677695;2.324518;1.707458;2.627421;3.009073;1.800518;1.931753;1.744882
ABRA;1.104558;1.012955;1.057103;8.189383;8.530957;9.299366;7.563433;0.920974;9.028162;8.812743;9.061938;1.000834;1.652733;1.376777;1.250707;1.504889;1.648294;1.309596;1.571736;1.474238;1.350061;1.296393;1.451209;1.376669;1.320714
ABT1;1.828255;2.875366;1.850844;1.706218;1.767487;2.228788;1.249791;0.232853;1.185944;1.462343;2.071092;2.076629;3.053328;3.606908;2.575237;2.510839;2.801393;2.343248;3.165392;3.252064;3.703592;0.325004;3.543302;2.525601;2.215121
ABTB1;2.053191;4.407029;3.743263;3.177356;2.953818;3.044946;3.114413;8.664984;2.800735;1.302843;3.678603;3.357386;4.006502;6.576266;4.284846;7.704589;5.001455;4.784575;6.608555;7.427305;4.039191;6.310062;2.798538;4.514636;1.935481
ABTB2;0.266916;2.194504;2.424907;0.176859;0.225489;2.290334;1.967609;1.329717;1.012323;1.181381;1.403418;1.799677;0.285468;2.693102;1.968044;2.063491;4.218516;2.424054;3.872991;2.389381;1.905148;1.530218;2.119768;2.248995;2.020387
ACAA1;1.297493;1.471499;1.607885;9.995021;2.021053;1.869109;1.628994;1.795917;1.389999;6.361508;1.064365;1.631332;2.218185;2.201694;1.170766;2.354476;2.643863;1.415395;1.614699;3.173126;2.075312;2.047753;2.886334;0;1.153741
ACAA2;8.650353;1.654828;1.017557;4.546578;1.660191;9.534709;0.624621;3.744742;5.377384;4.699667;3.344251;9.005905;3.345024;3.276092;1.665431;1.292438;2.916684;9.228038;1.707641;2.476703;0;2.088411;3.852133;9.102999;1.715211
ACACA;0.968755;0.100877;0.885957;0.790646;8.307632;8.561803;0.678559;8.644807;8.505597;7.162846;8.094855;9.141492;1.269071;1.501967;1.245599;1.427381;1.490181;1.254998;1.330457;1.281868;1.146412;1.116599;1.286212;1.178533;1.111465
ACAD8;1.080623;1.296742;0.770886;5.348287;0.675819;6.212977;5.548843;1.286029;8.302631;6.059003;9.222886;9.491092;1.218961;0;8.225833;9.652509;1.312666;5.475171;8.819112;9.415219;8.774573;1.283927;1.060605;7.243829;8.118351
ACAD9;1.243857;1.015183;1.096285;1.012187;1.139841;1.202624;7.088353;0;1.068297;7.560024;1.264039;9.379772;1.992596;0;1.404828;1.674127;3.500983;1.379415;2.189218;2.296747;1.576232;0;2.590236;1.356411;2.386439
ACADL;8.453138;9.192332;8.334702;7.615596;8.939374;0.811758;6.839784;7.232211;7.634924;0.748014;1.095398;8.374599;1.200435;1.607382;1.210996;1.558903;1.400421;1.317847;0;1.290211;1.064386;1.087054;1.245373;1.106013;1.061145
ACADS;3.300964;1.039919;3.056665;3.799252;4.140861;6.217312;2.348883;9.226612;1.949186;2.722656;4.921444;3.941389;7.933741;0;5.709698;5.304019;7.191143;3.980708;5.451207;6.188546;9.244885;6.139599;1.176503;8.672263;2.613242
ACADSB;1.515719;1.497866;1.269865;1.038058;1.463074;1.257439;9.384062;1.263177;1.077959;1.112288;1.443348;1.556553;1.643811;0.190438;1.664953;1.959598;2.038387;1.455503;1.818988;1.830854;1.852912;2.056805;3.188088;1.603244;1.948574
ACADVL;3.392804;0.527347;3.762819;2.474442;3.347162;3.778574;4.203938;3.918978;3.144731;3.367434;4.087606;7.747285;5.527782;4.686288;2.500107;4.565956;5.694456;4.818278;5.635662;5.674811;6.258256;0;0.701705;4.631394;3.151546
ACAT1;6.058627;4.270713;3.060517;0;3.053392;1.667931;1.267934;5.492139;2.203946;1.595216;0;4.229558;5.409316;5.426199;3.812922;5.181258;6.757157;3.786858;0;4.851118;4.043078;5.101397;7.531762;3.149363;3.748513
ACAT2;1.192264;1.140061;1.098739;8.873043;9.773555;1.021593;7.982867;1.071567;0.923575;1.083367;8.879951;9.912878;1.631108;0.177482;1.590332;1.588309;2.516915;1.257704;1.971247;1.626121;1.247637;1.587074;2.119149;1.367386;1.566061
ACBD3;2.737886;2.523578;0;2.208341;2.389474;2.929387;1.273795;3.352557;1.882537;1.023993;2.254286;3.404316;2.662824;3.294755;1.946273;1.626441;0.002845;1.562413;2.818922;0;5.046468;2.776815;3.830257;2.164063;4.180691
ACBD5;9.748272;9.693275;8.910988;9.517505;9.004009;8.814982;7.636274;1.012255;1.221834;7.721896;0.100795;0.101574;1.284902;1.436686;1.386631;1.395191;0;0.125983;1.763983;1.304251;1.435157;1.629537;1.426506;0.128378;1.111682
ACBD6;9.213138;6.385927;6.507835;6.283657;5.350411;7.422354;6.277084;6.599252;6.470601;4.356408;6.901846;0.804662;8.526766;1.019819;7.643911;8.900024;1.272816;7.146522;7.831537;8.336019;0;8.566907;9.754471;6.457356;0
ACCN1;1.035967;2.511284;1.061081;8.806111;1.057707;2.743336;7.313931;8.357729;0.956704;8.306985;8.721954;9.667537;3.631089;1.706057;8.315757;1.581142;1.753947;1.384173;1.375008;1.623545;1.605245;3.855349;1.677743;1.548051;1.060294
ACCN2;9.497011;0.105789;9.388385;7.746401;8.617808;8.271229;6.717872;8.154078;7.692945;7.863092;9.051895;8.321325;1.504655;1.432655;1.389784;1.509956;1.539834;1.178182;1.327111;1.319165;1.245866;1.149515;1.179993;1.279073;1.082005
ACCN3;9.866961;1.055283;1.170817;7.927739;8.540279;9.864417;8.434995;1.517276;1.191163;8.731866;1.121886;1.024487;1.705422;2.071954;0;2.072424;1.644021;1.466652;1.725587;1.276264;1.538207;1.418316;1.491361;1.287327;1.162901
ACCN4;1.215296;9.869579;1.179618;9.498452;1.132943;1.066788;7.832207;0.107471;0.982924;8.371053;1.004102;1.180139;1.799124;1.923682;1.549376;1.782079;2.014152;1.515238;1.668496;1.730831;1.852252;1.575324;1.794712;1.514503;1.317288
ACCN5;9.330488;9.732422;9.016677;9.136795;9.080989;8.306197;0.719416;8.440714;8.568698;8.088193;8.428735;9.211957;1.465691;1.466554;1.437135;1.639711;0.159382;1.256307;1.389531;1.195218;1.264468;0.122336;1.416692;1.301969;1.053746
ACD;7.472781;8.821559;8.655348;4.345711;1.473539;7.507488;3.977657;8.568192;8.352657;6.050573;8.083165;0.651962;0;1.090193;7.698033;8.065568;1.158317;5.137717;9.260893;5.037718;7.242579;9.445886;8.731224;4.724523;5.757229
ACE;9.220794;0.118473;1.021341;9.124583;8.066894;1.147703;8.679549;1.067851;7.808624;8.501337;1.043106;0.847109;2.132948;1.854252;1.336858;1.764848;1.514852;1.274795;0.155446;1.518502;1.181124;1.793795;1.700108;1.441854;1.061837
ACHE;1.028929;9.999197;1.126519;9.539544;8.670154;0.922352;7.513831;9.206359;8.726311;8.531612;8.517659;8.960603;1.403008;1.781755;1.553806;1.546637;1.557272;1.378133;1.408334;0.140489;1.213869;1.291402;0.129611;1.333591;1.246903
ACIN1;1.283978;1.252977;1.015812;8.433446;1.484721;1.169643;6.383537;1.180506;9.503987;9.164326;1.567618;2.258065;1.560646;1.848627;1.608949;1.895069;0;9.566458;0;1.400809;1.295221;1.486894;1.503978;9.570714;0
ACLY;4.962536;0;3.973209;1.958376;4.277737;0;0;4.455243;3.393706;3.216842;2.635779;4.495132;4.921778;6.270526;4.911763;3.346232;9.674462;2.666859;5.247345;0;6.245191;5.506938;8.021812;0;5.195612
ACMSD;2.074104;2.316554;2.074284;2.087756;2.218636;0.237133;1.396612;2.227106;0;1.533781;2.090134;2.034365;3.951569;0.448677;3.162544;3.431265;3.512135;2.776939;3.602309;4.072647;4.775435;3.635896;3.905861;3.149999;2.618226
ACN9;2.107902;1.269706;1.089927;1.169627;0.734456;1.536887;6.159936;1.949798;1.195548;0;8.681473;1.823182;0;3.918635;1.801689;1.384141;2.465308;1.033028;2.670655;2.897818;3.470932;2.981059;2.123771;1.360836;4.386394
ACO1;4.174358;6.019185;4.854027;5.028717;4.622011;6.723399;2.124867;4.680009;3.561659;2.814425;3.937449;3.908324;6.991786;0;4.411881;6.168384;9.125061;4.896589;7.635631;7.784346;4.332085;6.985586;7.843064;5.848413;5.930163
ACOT11;1.622615;1.516988;1.497086;1.378859;1.875841;1.531555;1.099873;2.053136;1.174122;1.365586;1.188851;1.440196;1.863749;2.088647;1.658995;1.640333;2.197746;1.468872;2.642813;0.202807;1.607509;1.717202;2.376103;1.669523;1.249253
ACOT7;8.653802;8.687768;9.629182;8.660383;1.058146;9.213043;7.510092;7.488045;8.314213;7.537383;8.482171;8.645201;1.799122;1.673986;1.194158;1.722804;1.655567;1.375608;0.142458;1.395835;1.355458;1.486478;1.376944;1.314584;1.147223
ACOT8;2.796023;0.183821;2.647301;2.368327;8.013078;3.076928;1.989825;3.098486;1.570955;3.539518;2.067238;0.239106;9.943761;0.471589;0.463272;2.872672;5.823839;2.761197;3.592591;4.723636;3.981085;3.957483;4.864652;3.674973;3.754245
ACOX1;6.515013;7.189632;6.689361;3.707753;7.808909;5.606608;4.010536;0.670553;4.563804;3.627864;3.750452;7.885406;1.269626;0.926431;8.409688;4.003571;1.328565;3.961913;1.175432;1.093075;1.542545;1.027606;1.158911;7.867897;1.069786
ACOX2;9.991561;1.312639;0;8.688022;9.369321;1.479419;7.711948;1.164779;2.083268;1.104464;3.918314;2.502362;2.760495;1.144408;1.262826;2.172113;1.577774;1.327625;1.012277;2.290624;1.717312;1.498517;1.175839;7.619873;4.455878
