CACO2	COLO201
ACOXL	4.947822728	5.083224203
ACP1	9.859902471	10.06991351
ACP2	8.359346912	8.122473325
ACP5	4.720409691	6.058681065
ACP6	7.862662374	9.062260611
ACPP	5.605288875	6.504268096
ACPT	6.749973046	6.537310511
ACRBP	5.049660513	5.078631657
ACRV1	4.72117034	4.321477404
ACSBG1	4.10356473	4.039822156
ACSBG2	4.146203983	4.165288101
ACSL1	9.404701533	7.095167275
ACSL3	9.329600814	8.502154318
ACSL4	7.335536843	7.426374959
ACSL5	8.007017332	9.825844471
ACSL6	3.198312538	3.458554511
ACSM1	4.55812765	4.53621643
ACSM3	3.579211151	3.950688406
ACSS1	7.737802102	6.249253907
ACSS2	8.33800517	7.341312664
ACTA1	4.439601334	4.395034391
ACTA2	4.264175304	4.472257822
ACTB	12.35491434	10.82914564
ACTG1	13.23099874	13.11013314
ACTG2	6.725285699	5.076763005
ACTL6A	9.792783604	9.925763822
ACTL8	9.650855682	5.729404131
ACTN1	8.354334871	8.911188985
ACTN2	5.258965264	5.185226383
ACTN3	5.267549712	5.02202528
ACTN4	9.790607229	10.75105495
ACTR1A	8.408531616	8.06245683
ACTR1B	8.084542869	8.274374967
ACTR2	7.000454345	6.647923283
ACTR3	7.480064188	7.082939658
ACTR3B	6.69670533	6.485784419
ACTR5	6.987475082	7.172930693
ACTR6	8.748412965	8.84124953
ACVR1	7.178210541	7.339487367
ACVR1B	10.57100427	9.270082497
ACVR1C	4.825117093	4.331219192
ACVR2A	6.950788284	5.94522508
ACVR2B	7.222405955	6.658399945
ACVRL1	4.8004667	4.598914259
ACY1	8.659861679	8.583226486
ACY3	5.691602085	6.568986001
ACYP1	7.368474428	9.290856177
ACYP2	5.000145787	6.991039947
ADA	8.283646827	10.82057665
ADAM10	6.986753478	6.331332674
ADAM11	5.646149004	5.504189239
ADAM15	8.083158372	8.665777101
ADAM17	6.466739954	5.214579896
ADAM19	7.697811708	9.193914438
ADAM21	4.23320711	4.352790323
ADAM22	4.077385756	4.562729386
ADAM23	6.232704007	3.300451048
ADAM8	6.261912018	7.011030076
ADAMTS13	5.349862937	5.686840472
ADAMTS14	5.433928782	6.323735361
ADAMTS15	4.0202634	7.597574862
ADAMTS17	3.680212731	8.58381155
ADAMTS19	4.113580044	4.197575268
ADAMTS2	5.251308694	5.148033901
ADAMTS4	5.177228667	5.230441157
ADAMTS6	3.793794106	3.673746811
ADAMTS7	5.883776073	5.934084122
ADAMTS9	6.675079428	6.466221424
ADAMTSL1	3.387302189	3.311125195
ADAMTSL2	5.067321586	5.094679344
ADAMTSL5	5.401676059	5.597680549
ADAR	10.69974223	10.5442627
ADARB1	7.072189548	5.69792355
ADAT1	7.744019314	7.737844797
ADCK1	6.633778946	7.230247241
ADCK2	6.860318964	7.457562291
ADCK4	7.148976274	7.337086247
ADCY1	4.447912445	4.053773739
ADCY3	7.023581584	5.144045793
ADCY4	5.562085563	5.880025889
ADCY5	4.962996161	4.912800892
ADCY6	7.903383306	6.974161791
ADCY7	8.172435574	4.152918872
ADCY9	7.982678548	5.929298877
ADD1	9.496919766	9.759774568
ADD2	4.432588845	4.371940042
ADD3	10.91078975	10.22437324
ADH1C	3.930942339	4.41767576
ADH5	7.884194902	8.05103926
ADH6	5.568816058	4.535423465
ADHFE1	6.326264911	6.057229187
ADI1	10.58303553	9.29040618
ADIPOR1	9.081816227	8.855640816
ADIPOR2	10.15396963	8.858176603
ADK	7.130678889	6.623814019
ADM	11.15541402	9.476155273
ADNP	9.021183933	9.409741058
ADORA1	6.676605548	5.287889788
ADORA2B	6.947735009	9.469441612
ADORA3	4.771272261	4.68794529
ADPRH	4.737054521	4.975375497
ADPRHL1	5.893324367	5.340401573
ADPRHL2	8.269636047	8.464811057
ADRA1B	4.236907091	3.962612296
ADRA1D	4.074516679	4.27672197
ADRA2A	4.342764455	4.277086624
ADRA2B	5.672903577	5.773413311
ADRA2C	6.331681927	6.176599462
ADRB1	4.553644927	3.392018773
ADRB2	4.082139768	4.082013774
ADRBK1	6.598317911	6.773009149
ADRBK2	5.962055586	6.402266873
ADRM1	10.6602573	10.32136234
ADSL	10.36729868	9.756304099
ADSS	9.48517521	8.843053356
ADSSL1	4.704584471	4.761240496
AEBP1	5.981850325	6.032863738
AES	7.517023778	7.743435655
AFF1	9.207739416	9.703222838
AFF2	4.445368706	4.263731088
AFF3	3.083470185	3.148226714
AFF4	4.812249905	4.757172739
AFG3L2	11.2574008	10.10172205
AFP	4.941157856	4.802668076
AGA	6.307134971	7.623645621
AGBL2	3.769497712	5.027318908
AGER	5.836719259	5.945704822
AGGF1	6.533968655	6.160151719
AGL	9.227575663	8.840860562
AGMAT	7.986657054	7.102375427
AGPAT1	8.056603583	8.324347792
AGPAT2	8.70071624	9.109129643
AGPAT3	7.454753554	6.87864358
AGPAT4	5.442110894	4.670492088
AGPAT6	8.622699075	8.636511534
AGR2	12.06027704	10.85488833
AGT	7.592923844	6.386040312
AGTPBP1	7.309121313	7.221056987
AGTRAP	8.174488381	7.978106029
AGXT	4.770965128	4.665766584
AHCTF1	8.088232189	7.94089589
AHCY	11.29855065	10.68486355
AHCYL1	8.642567073	8.566119112
AHNAK	6.682490513	7.269214281
AHR	8.20773505	7.676364599
AHSA2	6.620358101	7.404076141
AHSG	6.941023252	4.332722794
AIG1	6.913394819	8.68660089
AIM1	6.110236801	8.589246764
AIP	8.564728895	8.097340312
AK1	8.004669353	8.828454463
AK2	6.607081993	6.791081584
AK3	6.123664592	7.764792303
AK5	4.774725189	4.549097994
AK7	3.718108654	3.849541364
AKAP1	9.61220075	10.14072157
AKAP10	7.026686511	7.031669371
AKAP11	9.007636619	10.07174386
AKAP12	3.701912255	6.88587722
AKAP13	6.592414021	6.265490939
AKAP14	3.099681056	3.240853462
AKAP3	4.380827531	4.755595271
AKAP4	4.108397794	3.882680612
AKAP5	6.310306874	4.325087574
AKAP6	4.320958359	4.366658233
AKAP7	6.048806143	4.247775443
AKAP8	7.972408441	8.098241103
AKAP9	5.594763556	4.784043044
AKNA	7.822370984	8.642218566
AKR1A1	9.895812928	10.47165128
AKR1B1	8.494733364	7.816380499
AKR1B10	5.101854322	5.934408461
AKR1C1	7.943144108	12.02984562
AKR1C2	7.197661092	11.35360593
AKR1C3	7.369467206	11.80851203
AKR1C4	3.399709011	4.822494623
AKR7A3	7.612877078	8.291003413
AKT1	7.746866361	7.466626774
AKT1S1	7.512289201	6.982795848
AKT2	8.124515718	7.818654848
AKT3	5.653803143	5.810900669
ALAD	8.004216781	8.10791905
ALAS1	9.247069485	9.29568586
ALB	3.617154171	3.465279667
ALCAM	4.757938	9.793005632
ALDH16A1	7.286939326	7.244516347
ALDH18A1	8.83286133	7.986296066
ALDH1A1	9.342729446	9.811169182
ALDH1A2	4.269187722	4.393926362
ALDH1A3	6.115084057	8.703732913
ALDH1B1	7.342133184	7.109037984
ALDH1L1	5.919659308	6.041079875
ALDH2	10.2799155	11.39703181
ALDH3A1	6.249221221	9.098848172
ALDH3A2	8.128143778	9.219153098
ALDH3B1	7.074273531	6.219365664
ALDH3B2	4.310694087	4.899144762
ALDH4A1	6.675699245	6.754225605
ALDH5A1	8.905522235	8.106681784
ALDH6A1	6.162146329	5.16448093
ALDH7A1	10.09723345	8.499231212
ALDH8A1	3.16594397	6.108659631
ALDH9A1	9.752678503	10.02432087
ALDOA	8.754511336	9.186378322
ALDOB	3.343553957	3.525033822
ALDOC	6.812599678	7.276397054
ALG1	5.094912936	5.353701345
ALG12	6.792391473	6.71875838
ALG14	7.616284206	8.886021159
ALG3	8.050346138	7.976983647
ALG5	10.17336064	11.4393436
ALG8	10.6696435	9.497936574
ALKBH3	8.106664664	8.933451041
ALKBH4	6.790471194	6.340015372
ALKBH6	7.455721155	8.193485388
ALKBH7	8.81955924	9.321162604
ALKBH8	6.891116194	6.271725093
ALOX12	4.245647581	4.417016006
ALOX12B	4.469586833	4.720190025
ALOX15	3.95914013	3.815906793
ALOX15B	4.831032261	4.986528658
ALOX5	3.563569965	3.432939319
ALOX5AP	5.493856225	5.583431678
ALOXE3	3.546310058	3.656153313
ALPI	5.69984475	4.743127366
ALPK1	5.222917646	6.904789413
ALPK3	3.954649121	4.473104463
ALPL	4.532862129	4.631412646
ALPP	6.740168387	4.833399826
ALPPL2	6.053476281	5.869514411
ALS2CL	5.666431012	5.475195379
ALS2CR11	3.070396757	3.139620425
ALS2CR12	3.90607152	4.033125984
ALX3	4.832074014	4.992712778
AMACR	3.676548316	4.076532238
AMBP	5.23550231	5.033671006
AMD1	9.653097423	9.699401266
AMDHD1	3.566560484	3.612366162
AMDHD2	6.194346788	6.489684526
AMELX	3.62575317	3.817503662
AMFR	8.731480687	7.48837476
AMH	5.925112958	6.090997256
AMHR2	5.58768062	5.800257715
AMICA1	6.738360595	5.853912357
AMIGO2	4.211614233	11.47595941
AMMECR1	8.783127712	8.647374124
AMN	5.814665711	5.233237499
AMOT	4.419014055	4.329151115
AMPD2	7.172778051	7.844157458
AMPD3	7.412015665	8.367182314
AMT	6.28540216	7.445289885
AMZ2	9.158463217	9.85109381
ANAPC1	8.070938218	7.130742727
ANAPC11	4.65509054	4.879023019
ANAPC13	10.29190033	10.31188562
ANAPC2	6.488467388	6.832790812
ANAPC4	8.610808326	9.374997076
ANAPC5	5.541444627	5.440677657
ANAPC7	7.566681843	8.187684647
ANG	6.712474215	6.368722163
ANGEL1	7.137627483	7.603213438
ANGEL2	6.286457829	5.874120837
ANGPT1	7.238263593	3.424701774
ANGPT2	3.755777982	3.870688364
ANGPTL4	6.006768965	6.043461614
ANGPTL6	5.034169851	5.114127706
ANK1	5.010217707	4.793084281
ANK2	6.122569419	3.622125482
ANK3	9.024041848	7.825785739
ANKDD1A	3.893915735	4.118787981
ANKH	6.590905925	10.20048791
ANKMY1	4.979043292	4.938559535
ANKMY2	9.304443517	8.500552319
ANKRA2	6.28745513	7.763691782
ANKRD1	7.868634575	3.47760641
ANKRD10	6.612647928	8.112888592
ANKRD11	9.831046724	8.375904304
ANKRD12	7.325373944	6.550331495
ANKRD13B	6.14250634	6.282068134
ANKRD13C	4.400893564	3.739710782
ANKRD2	5.064230124	5.380821501
ANKRD22	3.845243297	9.006508257
ANKRD26	5.208263454	4.823871346
ANKRD29	6.018472561	3.473235719
ANKRD32	7.6504317	7.165647225
ANKRD33	3.930284851	3.957360959
ANKRD35	5.636170253	4.964155196
ANKRD37	6.277683278	6.223688309
ANKRD39	7.837769427	7.569140341
ANKRD40	9.981971453	8.925271432
ANKRD42	4.795026468	4.612615777
ANKRD45	3.628993943	3.532002874
ANKRD46	8.337653562	7.417379666
ANKRD9	7.919379219	7.666279699
ANKS1A	8.155312074	7.95737456
ANKS3	6.479205093	6.570291087
ANLN	8.876601985	8.495077158
ANP32A	9.486696451	9.702111689
ANP32B	12.04695847	12.16126015
ANP32C	3.960483528	4.066089724
ANP32E	8.899326984	9.294130141
ANPEP	4.072222931	3.916787767
ANTXR1	4.316166662	3.84685816
ANXA1	8.675154906	8.840682511
ANXA11	6.350362097	6.389294208
ANXA13	4.616531402	4.196453734
ANXA2	12.80897522	13.29527521
ANXA3	11.33864241	10.85255378
ANXA4	9.558640838	10.75298746
ANXA5	11.02858994	9.215589829
ANXA6	7.729484715	7.891671623
ANXA7	11.16573337	10.17156181
ANXA9	8.044649634	6.648102585
AOAH	5.2870552	6.330023869
AOC2	4.501254625	4.432881596
AOC3	4.215735765	4.036718001
AOX1	3.905151282	3.848971284
AP1B1	8.485191476	8.322830949
AP1G1	6.898182884	6.373971711
AP1G2	7.511071265	8.215207596
AP1M1	8.462404337	8.251408727
AP1S1	8.03255263	8.30733983
AP1S2	7.706177687	7.055669669
AP1S3	8.198041954	6.405735418
AP2A2	9.10940919	9.219983265
AP2B1	8.339526658	8.375246777
AP2M1	8.753232776	9.033419275
AP2S1	10.85698291	11.18928819
AP3B1	5.722626146	5.137951618
AP3B2	4.18016841	4.769552069
AP3D1	9.228138658	8.339007941
AP3M2	6.185203591	6.085317438
AP3S1	11.1626333	10.80594899
AP3S2	6.642308127	7.017678209
AP4B1	7.113214486	7.644463629
AP4M1	6.695017031	6.748581729
AP4S1	6.01894329	5.603422793
APAF1	6.99263254	7.197374641
APBA1	4.234915654	4.340552348
APBA2	4.500432337	4.815897683
APBA3	7.200007372	7.087891348
APBB1	5.823970475	5.58345589
APBB2	6.565404174	6.799519169
APBB3	6.188314123	6.27206923
APC	7.539372541	6.744213661
APC2	6.471585266	6.585691726
APEH	9.180408142	9.007630616
APEX1	10.29380745	10.57998656
APEX2	5.616117666	6.742816801
APH1B	6.409308215	6.241987525
API5	7.932923128	6.792167187
APIP	8.421579117	9.004138692
APITD1	8.373312997	9.305077507
APLP1	6.541220977	5.198787479
APLP2	11.20203536	9.030558068
APOA1	8.3141799	5.125808366
APOA1BP	9.881568985	10.12972478
APOA2	9.420475109	3.848630558
APOB	7.458361069	4.320778871
APOBEC1	4.212260766	7.489429707
APOBEC3B	11.07586179	9.596400418
APOBEC4	3.825650057	3.853500279
APOC1	9.106799046	6.995218091
APOD	8.92068247	5.337252687
APOE	9.062013926	5.990820854
APOH	9.096472182	6.583533102
APOL1	6.218803269	7.598171459
APOL3	4.752685115	5.621572008
APOL6	7.124087071	7.906210384
APOLD1	6.265206266	5.060730635
APOM	7.039064086	6.728280357
APP	10.32619177	11.04937481
APPBP2	7.487704733	7.690631968
APRT	9.319946717	9.578268128
APTX	8.738693432	8.762383078
AQP1	4.466137097	4.691172549
AQP11	8.182520275	5.847484966
AQP3	8.670820172	7.831203768
AQP5	5.681673404	5.622956545
AQP6	5.369234891	5.566932146
AQP7	6.03665333	6.269295322
AQP8	4.67320375	4.758201664
AR	6.501248808	4.249797374
ARAF	4.610549258	5.712559345
ARC	4.98540721	5.102923723
ARCN1	10.52350281	9.658067041
ARF1	9.265804378	8.770297897
ARF3	10.44901416	9.720956896
ARF4	10.22506024	9.628036965
ARF5	9.664532856	10.04129354
ARF6	8.247852156	8.543990945
ARFGAP1	8.474584675	8.028084065
ARFGAP3	8.644112744	8.004978245
ARFGEF1	8.805062713	9.094305014
ARFGEF2	6.317480112	6.369472956
ARFIP1	5.598487826	5.726759202
ARFIP2	9.378107546	9.646719255
ARFRP1	7.298954822	6.912782234
ARG2	7.117358991	5.82215466
ARHGAP1	10.17846058	10.62752549
ARHGAP11A	6.050648991	6.169945643
ARHGAP12	8.833196799	8.651951371
ARHGAP19	7.45250196	7.439885627
ARHGAP21	9.118399911	8.107479486
ARHGAP22	5.45591213	4.966432032
ARHGAP24	4.304783279	4.708416373
ARHGAP25	4.970501904	4.890406051
ARHGAP26	6.689301013	8.266876927
ARHGAP27	6.919663151	8.351273075
ARHGAP29	9.325403662	4.418425407
ARHGAP30	6.471451057	6.470392987
ARHGAP4	5.424934966	7.144048564
ARHGAP5	6.34801882	6.630997334
ARHGAP6	3.916513439	3.45434344
ARHGAP8	6.501517169	5.790236529
ARHGAP9	4.415868955	4.928795232
ARHGDIA	5.059297781	5.593659278
ARHGDIB	8.421802201	8.601610237
ARHGDIG	5.810087822	5.442858341
ARHGEF1	6.744601028	7.354560808
ARHGEF10	5.440137845	5.403992646
ARHGEF10L	7.261060907	8.092185013
ARHGEF11	5.513045923	5.430882531
ARHGEF12	6.306024548	6.124962761
ARHGEF16	7.770782633	7.714958733
ARHGEF17	7.26499013	6.27687843
ARHGEF18	9.749572349	9.276491469
ARHGEF19	6.244501513	7.861927619
ARHGEF2	8.075473944	9.187001998
ARHGEF3	7.468972182	8.739927111
ARHGEF4	4.76445772	5.4831852
ARHGEF5	7.537480804	8.395934886
ARHGEF6	5.020879856	5.171022257
ARHGEF7	4.200931399	5.188900889
ARHGEF9	3.820299493	6.414149939
ARID1A	9.058126033	9.658372806
ARID1B	7.992839514	7.7569288
ARID3A	8.248463999	7.319966322
ARID3B	7.791625215	6.78119062
ARID4A	6.435373925	5.813111897
ARID5A	6.33039719	6.546336022
ARIH1	7.025501545	7.258486078
ARIH2	5.486010884	5.985303802
ARL1	9.417425592	9.251994485
ARL10	4.359777378	4.707371883
ARL11	3.067250457	6.863267564
ARL13B	6.980840533	7.304661538
ARL14	5.174284481	6.404782771
ARL2	8.809988991	8.527295898
ARL2BP	8.313968306	7.502536991
ARL3	8.587654923	9.017016696
ARL4C	9.719828648	11.21456773
ARL4D	7.202441045	7.030272768
ARL5B	6.852616834	4.640585126
ARL6	5.820194939	5.339537967
ARL6IP5	9.373032452	9.956834871
ARL6IP6	7.66870466	8.072745304
ARL8A	7.19233716	7.282225517
ARL8B	8.32534266	7.773953108
ARMC1	9.111875261	8.974474519
ARMC2	3.368337682	3.622439544
ARMC4	3.590114231	3.530104445
ARMC7	6.94898998	6.991738912
ARMC8	6.384283973	5.114887848
ARMC9	5.171041887	5.462851462
ARMCX1	3.351582046	3.649353123
ARMCX2	3.970207069	4.319294449
ARMCX3	8.567396039	8.116639457
ARMCX5	7.754648066	7.821064624
ARNT	6.024248824	6.175083496
ARNT2	4.391333367	6.575373676
ARNTL	6.829832714	7.256020664
ARNTL2	7.84351549	5.880475204
ARPC1A	10.09499123	9.279443795
ARPC1B	10.52340746	10.82738965
ARPC2	11.56267548	11.70056371
ARPC3	11.24735817	11.39531955
ARPC4	8.603351286	7.939816345
ARPC5	10.87102273	10.94924658
ARPC5L	8.275054352	9.010622576
ARRB2	6.303085065	6.447748623
ARRDC1	7.538217704	8.302050571
ARRDC2	6.722562083	7.427036613
ARRDC4	4.546958429	6.802959646
ARSA	5.97514844	6.268974913
ARSB	4.905618211	4.112266767
ARSD	4.728798085	7.804968387
ARSE	7.768866802	6.950803698
ARSG	4.200383658	4.530205942
ARSK	6.630979646	5.781033867
ART3	3.776870586	3.838766288
ART5	5.598518383	5.484209276
ARTN	5.683946083	6.717863101
ARV1	7.877350708	9.176889299
ARVCF	6.736535128	7.052533388
ARX	3.924317116	3.857431477
ASAH1	8.573778226	7.304230299
ASB12	5.204616515	5.063882106
ASB13	8.524206777	8.901737433
ASB14	4.189481235	4.350178774
ASB16	6.230703523	6.190069022
ASB2	5.367812932	4.828028461
ASB3	4.792736107	4.335537215
ASB4	3.591074854	8.945355982
ASB6	7.003887109	7.0736444
ASB8	7.339930614	7.133514399
ASB9	5.793044529	6.117545435
ASCC3	7.133564635	6.259880873
ASCL2	8.2219394	10.44020429
ASF1A	7.869830011	7.883041481
ASF1B	8.382494588	9.191557129
ASGR1	5.419393436	5.289775494
ASGR2	7.714794875	6.101101201
ASH1L	8.24137197	8.707414522
ASH2L	8.71828001	8.602779275
ASIP	4.705326835	4.3595682
ASL	8.135375929	8.039510442
ASNA1	7.946370497	8.422622549
ASNS	11.39652417	10.06708912
ASNSD1	9.575253559	9.227549138
ASPH	10.4074798	8.736215459
ASPHD1	8.013264137	6.56494233
ASPHD2	4.166798754	4.438495609
ASPM	6.487508824	5.887654171
ASPSCR1	7.230497087	6.817417237
ASTE1	7.214217684	7.22440991
ASTN2	6.634125699	5.624576014
ASXL1	7.573903279	7.147338066
ATAD1	9.781597231	9.232391047
ATAD2	8.699038018	8.572964972
ATAD3A	8.194807368	8.233091462
ATAD3B	8.129667302	8.055474241
ATAD3C	4.97947036	5.263996332
ATF1	8.036330442	7.466401222
ATF2	6.35239381	5.59103845
ATF3	8.500963867	5.500792412
ATF4	12.2015524	11.91510471
ATF5	6.50903192	5.958560088
ATF6	7.800567669	8.046056918
ATF7	8.17425329	8.45369452
ATF7IP	8.440952969	7.616278805
ATF7IP2	6.427005135	7.095178176
ATG10	5.989953805	4.961344698
ATG12	6.637780469	7.394016665
ATG16L1	4.238796632	4.353497968
ATG4A	7.069363831	6.969615778
ATG4D	7.103349389	7.480392765
ATG5	7.150718472	7.330012543
ATG7	4.638225316	4.321390158
ATG9A	7.681890927	7.326928417
ATIC	11.1303557	10.53552852
ATM	6.607521924	7.117042117
ATN1	4.836909936	4.907744566
ATOH1	5.02051873	4.951242183
ATOH7	4.093705425	3.854365212
ATOH8	4.665869271	4.880513854
ATOX1	10.13467518	10.31681438
ATP10D	7.964599016	7.132891728
ATP11B	6.505000933	5.398601734
ATP11C	8.072768154	7.454612848
ATP12A	5.13647769	5.09988881
ATP13A2	7.097378671	7.148638255
ATP13A4	3.883800954	3.878087942
ATP1A1	10.80999696	11.04260175
ATP1A2	4.047716629	4.231403715
ATP1A3	4.075731016	4.068281148
ATP1B1	10.3702288	9.979080406
ATP1B2	4.780935877	5.119436603
ATP1B3	11.41455933	10.83728196
ATP2A1	4.289159698	4.52311113
ATP2A2	9.933220058	8.917731225
ATP2A3	5.099615728	6.181414273
ATP2B1	7.715079936	6.519848025
ATP2B2	4.869939222	5.286235953
ATP2B4	7.450290313	6.716944931
ATP2C1	8.567821991	6.614149726
ATP4A	4.672234002	4.856500613
ATP5A1	12.1033138	11.39365006
ATP5B	11.81845645	11.24944448
ATP5D	8.859387422	9.284523034
ATP5E	4.318071522	4.60709526
ATP5F1	4.435341528	4.802357516
ATP5G1	9.932486661	10.92235614
ATP5G2	10.17763091	11.00339619
ATP5G3	7.530713936	7.324587843
ATP5I	9.620898224	10.56044434
ATP5J	11.31013839	11.66292211
ATP5J2	11.35025114	11.60947991
ATP5L	9.845909239	9.335892516
ATP5O	9.220026189	9.326137303
ATP5S	5.369668905	6.511611391
ATP6AP1	9.010910145	8.978082992
ATP6AP2	9.84969518	9.582393309
ATP6V0A1	7.805095328	7.921930361
ATP6V0A2	6.198821089	6.932455926
ATP6V0A4	4.445521448	7.395532647
ATP6V0B	9.640935485	10.89430781
ATP6V0C	9.780376056	10.14718206
ATP6V0D1	9.648432574	9.287416636
ATP6V1A	6.985662015	5.680594416
ATP6V1B1	4.396921559	4.705431143
ATP6V1B2	8.742934144	8.322456157
ATP6V1C1	8.561788197	8.42091643
ATP6V1C2	3.745081177	3.696467482
ATP6V1D	9.299038719	9.227132935
ATP6V1E1	10.61571756	10.58398524
ATP6V1E2	5.645178097	6.519831752
ATP6V1F	9.503664608	9.942486617
ATP6V1G1	6.663249841	7.197801962
ATP6V1G2	4.558613083	4.59836599
ATP6V1H	5.006824634	4.962343805
ATP7A	4.9418623	5.837783208
ATP7B	7.777934423	6.581347666
ATP8A1	7.323910903	5.144934486
ATP8A2	4.124068979	4.195442887
ATP8B1	8.996108442	9.323854355
ATP8B2	6.067640121	3.877320131
ATP9A	9.114538982	9.403865844
ATP9B	6.544395273	8.858460473
ATPAF1	7.184227979	7.308839024
ATPIF1	7.242122098	7.530232681
ATR	8.675484181	9.188551632
ATRN	7.461880126	6.238719922
ATRNL1	4.422612626	4.474234816
ATRX	4.306781684	4.337071738
ATXN1	4.685602813	6.790829921
ATXN10	7.369156434	6.68654228
ATXN2	8.386738643	8.171868289
ATXN2L	5.716768415	5.385555349
ATXN3	7.139758151	7.645545058
ATXN7	7.584390513	7.153180513
AUH	7.63039146	8.503686026
AUP1	10.08127928	9.870186221
AURKB	5.857273284	6.224394333
AUTS2	9.597005158	7.487595611
AVEN	7.226808303	8.90911009
AVIL	4.211961466	4.251723352
AVPI1	7.987514302	7.809602179
AVPR2	5.166327969	5.19100262
AXIN1	7.303581023	7.491383695
AXIN2	8.521677501	9.49817705
AXL	5.239074118	5.765717404
AZGP1	3.451027369	9.361397919
AZI2	7.400337674	6.870847195
AZIN1	10.5796307	10.29041256
AZU1	4.325176805	4.386067474
B2M	11.75801801	12.36177273
B3GALNT2	5.057086036	4.643676928
B3GALT1	3.838812331	3.734647502
B3GALT2	3.353468724	3.387933652
B3GALT5	3.979344852	5.542741847
B3GALT6	7.523842255	7.903330466
B3GAT1	6.024259273	6.03680704
B3GAT2	4.098720589	4.090678264
B3GAT3	6.630530303	7.043506652
B3GNT3	5.837428283	8.290584035
B3GNT4	6.826370222	6.751234401
B3GNT5	7.849877392	10.31081631
B3GNT6	5.391371769	5.334378197
B3GNTL1	6.305761185	8.738270839
B4GALNT2	4.667090684	4.398031469
B4GALNT3	7.319819075	5.740783114
B4GALNT4	4.684361999	4.676409882
B4GALT1	7.305111204	8.433267578
B4GALT2	7.038818435	7.198773726
